Threshold,TP,FP,FN,Recall,Precision
0.0,625,462,0,0.5749770009199632,0.5749770009199632
0.05,625,462,0,0.5749770009199632,0.5749770009199632
0.1,625,462,0,0.5749770009199632,0.5749770009199632
0.15,625,462,0,0.5749770009199632,0.5749770009199632
0.2,625,462,0,0.5749770009199632,0.5749770009199632
0.25,625,462,0,0.5749770009199632,0.5749770009199632
0.3,625,462,0,0.5749770009199632,0.5749770009199632
0.35,625,462,0,0.5749770009199632,0.5749770009199632
0.4,625,462,0,0.5749770009199632,0.5749770009199632
0.45,625,462,0,0.5749770009199632,0.5749770009199632
0.5,625,462,0,0.5749770009199632,0.5749770009199632
0.55,625,462,0,0.5749770009199632,0.5749770009199632
0.6,625,462,0,0.5749770009199632,0.5749770009199632
0.65,625,447,0,0.5749770009199632,0.5830223880597015
0.7,623,406,2,0.5731370745170193,0.6054421768707483
0.75,573,195,52,0.5271389144434223,0.74609375
0.8,497,90,128,0.45722171113155474,0.8466780238500852
0.85,49,13,576,0.045078196872125116,0.7903225806451613
0.9,0,0,625,0.0,0
0.95,0,0,625,0.0,0
1.0,0,0,625,0.0,0
